source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,bp_rp
3309546256058568320,68.58876479013401,15.320101692925798,0.06563326129899738,0.21064323,0.31158495,0.6099796417445098,0.23665245,-0.7809986360584419,0.14636303,18.625479,1.5280285
3309549515937525760,68.89086300789488,15.20040789463399,0.2603721578021249,1.0024866,0.25972635,1.1669325030521698,1.1248796,-0.2171227574340031,0.6817139,20.210007,1.2918301
3309549619016518016,68.88860010014184,15.219031550851826,0.24991751669286852,0.1271236,1.9659412,-0.6788100038084266,0.13830596,-1.7880023463282484,0.088829294,17.458271,1.0120754
3309551272579470464,68.92050808990655,15.25763199291067,,,,,,,,20.88344,0.63941765
3309551852399554304,68.99979703723827,15.2982163870039,0.020430056536349113,0.19927461,0.10252213,0.9253197922273515,0.2506835,-4.2223546314853895,0.17053455,18.58768,1.680891
3309552677033242240,68.88038777199246,15.237144753976976,1.7733523783555603,0.19212954,9.229983,6.906577574754519,0.19432335,-11.063137584956644,0.12695737,18.019407,2.4009228
3309552818768590848,68.8386187114136,15.2319999216929,1.5655772594362865,0.11490386,13.625106,-7.780529784786153,0.12397736,3.3229735845292536,0.07388081,17.257399,1.9128113
3309554223221488512,68.91788806488995,15.27056553390667,0.23345040690907673,0.12984484,1.7979182,2.079744295770747,0.14525741,-0.8366975460507505,0.10065849,17.566011,1.5262508
3309554605473703040,68.91054866338487,15.293544352330471,1.0529405494507595,0.6656676,1.5817813,2.300311517567173,0.8083681,-10.024649987705358,0.5464052,20.169367,2.2303886
3309555017790552576,68.92992448135423,15.324232542592942,0.33931965366862865,0.5994559,0.56604606,0.7437594610294812,0.648199,-0.21867794682101438,0.44590345,19.922104,1.6350002
3309555082214975616,68.91852100567779,15.327010034930776,0.13051736937042774,0.33984014,0.3840552,3.209207064452316,0.4148673,-4.04527982246633,0.28613412,19.39416,1.8838825
3309555258309100928,68.95010795727933,15.36195108982833,,,,,,,,20.883097,3.279787
3309555533187014272,68.88413737052213,15.34539904477918,,,,,,,,21.057993,0.16735077
3309555735050011904,68.88061100223153,15.348169072416455,0.34897588987503275,0.11592892,3.0102575,1.4859383264647996,0.12961727,-0.7174909496184958,0.079434104,16.894228,1.3339691
3309555735050235264,68.86960789641627,15.348632545040644,0.2747690381517894,0.4484923,0.6126505,1.1384855748845277,0.5281231,-1.5302600568894495,0.35369214,19.692564,1.4136429
3309556289102151808,68.91405511573954,15.380946048260174,-0.3191475047120383,0.4997086,-0.6386672,-0.7304576319967027,0.6147356,-1.0211689955962517,0.4239594,19.815763,1.5233479
3309558350686528256,69.0723185590973,15.369185645270022,0.7008649392201817,0.09643121,7.26803,6.598623742974771,0.12240075,-5.785721165768821,0.08315693,17.303782,1.7742996
3309558385046887168,69.04978018783095,15.366529491078465,1.2898210838732274,0.596565,2.1620796,14.234222124023713,0.7128238,-4.0896313019329344,0.45580697,16.199211,1.4093208
3309560034313702656,69.10102397636557,15.406005100785176,0.9389679810141126,0.07482815,12.548326,-0.7624479873925811,0.09901671,-5.7098389437383394,0.067030095,17.142056,1.699852
3309560103032549632,69.125722792182,15.41542886634969,,,,,,,,20.823254,1.7344532
3309560893306190464,68.99762638468411,15.361825149044261,-0.5359914322027334,0.8584298,-0.62438583,0.3868420754774706,1.1343738,-3.3720367650290535,0.805896,19.904501,2.5104008
3309560927665531008,69.02345143432048,15.35396706682744,2.2197636604737347,1.1034573,2.0116444,-3.1610678922553586,1.3981206,-12.837356365527981,0.949011,20.434927,
3309561717940887552,69.02428009320424,15.413298622269124,1.1748778952280163,0.023995088,48.963264,6.7263969935884695,0.030114,-8.17704073636261,0.020014001,14.468598,1.1782541
3309562336415538560,68.96460943341836,15.425966480502932,,,,,,,,21.205496,1.497263
3309562469558974848,69.00069981201128,15.427759531976454,1.4075804886878374,0.36300328,3.877597,-0.13046410643001366,0.49678823,0.27621599855759993,0.3538542,19.452227,2.3038616
3309562748732051328,68.98425949660493,15.44591130589391,-0.4274508859916908,1.0335789,-0.41356385,-7.333631542500176,1.6703682,-10.124726810459489,1.0030131,20.499916,2.0230503
3309563023609954688,69.09713034750463,15.422409411224274,1.738051368470461,1.088427,1.596847,9.084101426602649,1.5905371,-5.033873990858006,0.9893078,20.63209,2.315899
3309563435927796480,69.09085817446226,15.467127942940422,0.6922871452103688,0.080081195,8.644815,-7.298192649422823,0.10638726,-15.814499543556838,0.07075543,17.155014,1.4829884
3309563775228838656,69.15132750314245,15.484539718960669,0.485731807907743,0.1741631,2.7889478,2.5447028537118466,0.2329385,-4.939380868278646,0.16542758,18.535114,1.4820881
3309563882604521216,69.0900038854131,15.480559237153974,0.8046619574683199,0.027750004,28.996822,4.301890037871748,0.035932,-0.1999113900686612,0.023725064,14.936642,1.253377
3309564260560526464,69.07559248694736,15.487063589498954,,,,,,,,20.90592,1.3204803
3309564432360135296,69.00527144423616,15.480712348184479,0.7590095330299454,0.07930603,9.570641,2.0838353987376927,0.0989488,-10.230140163673372,0.068665,17.19103,1.5280361
3309564496786723456,69.04311766884072,15.49095909857883,0.334823880057668,0.748956,0.44705412,-0.4278805059603248,1.1878417,-2.240204689600934,0.8237762,20.405031,1.3982792
3309565355776727168,68.77087050419915,15.285268417393365,0.22540791337429186,0.41032252,0.5493433,-0.15848525435355967,0.43722653,-0.695653438626444,0.24260771,19.165714,1.4820461
3309565905532375040,68.80847857544794,15.332813750427611,0.6615156390888425,0.022561025,29.32117,1.8376251144598708,0.024027685,0.5524514212368531,0.016274903,11.728426,2.0119877
3309566184706811648,68.78416447503551,15.339069990259226,0.12196432258478748,0.07093921,1.7192793,0.4203704807593429,0.078642115,-0.677107314355238,0.04669818,16.391756,1.8093958
3309566214770435968,68.7625450124144,15.342066978237735,0.5158664096972674,0.48204157,1.07017,3.5803207852091052,0.50406003,-1.2410352791753103,0.29201746,19.386202,2.2776833
3309566425224985472,68.70819367561893,15.314755121121227,0.7263098997574376,0.5443277,1.3343247,-0.1852979724852484,0.57643765,-1.7970179364338927,0.32878876,19.642153,1.5103836
