source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,phot_g_mean_mag,bp_rp
3408504261063819520,73.68421274980275,19.680719019913923,22.03397406045333,0.020923588,1053.0686,88.69135486654318,-40.52953172397963,12.830068,2.4864779
3314150048683152896,67.87161425364759,17.718518754515433,22.235741889084355,0.022544263,986.3149,104.71801159828372,-32.00552823368455,11.184438,1.8785868
3309006602007842048,71.62700947833584,15.471931785895292,20.500601458263425,0.0819142,250.2692,87.32567613872013,-25.352727232571336,8.138844,0.8205805
3409827214070099840,72.14622781644172,18.72890279706403,20.551587784263443,0.030124094,682.2309,87.27695408230191,-34.786222840829815,14.713162,3.0733747
3295174363477640704,75.08112915512642,12.12608898873613,20.625656055459263,0.16071956,128.3332,98.58248751507746,-17.2343620075334,17.852879,4.2937183
3292227607891547264,69.77608805537724,7.870986341030237,20.63072383367189,0.091687545,225.0112,94.83053442527412,-0.1615898701897752,5.3237796,0.3391986
3313714023603261568,67.16468609875307,16.969906003224942,20.707493378225784,0.033891197,610.99915,102.49011854574022,-27.08546350145112,14.05441,-0.33930874
3310178784482082816,64.67653033004555,12.510638445649487,20.74999895456128,0.023574201,880.19946,110.03357949625426,-12.110017411549151,14.114566,2.9399395
45769546624484736,64.05691179600716,16.796588846576263,20.590147840419927,0.2016998,102.083145,109.61404156684677,-21.737954101547505,15.543332,3.468278
145784835140102016,66.32628208468356,23.060624403370937,20.7536113300791,0.020000981,1037.6296,106.44698152807058,-43.957385307406525,12.954094,2.4809856
3307843524864280192,67.09389131915107,13.822676224049486,20.77181149357056,0.035072938,592.24615,105.07476082538018,-19.53295525173183,14.891436,3.1672688
3391564527794446976,74.88597924839392,13.081822755654615,20.79203349582033,0.3834032,54.2302,80.49608080697446,-20.6507588700384,19.12323,3.7730331
3406089252492594816,72.00406947321011,17.055858182311823,20.16440796540908,0.08791098,229.37303,75.03474737608764,-33.31526722983607,10.526142,1.8785448
146712303261194624,70.04626127763612,23.420438935989637,20.04024061578082,0.10499906,190.86115,90.27292881606306,-45.83129601719615,17.08553,3.8768234
50327361624037120,60.91239484352838,19.455837610969265,20.857863349249136,0.07731438,269.77988,123.09422656758534,-26.75826544999285,14.791902,2.8605003
3309978501567767808,69.61596544100632,16.00290935094271,20.892995227960203,0.09939415,210.20348,98.74019918834688,-25.3597968168199,17.021824,3.8433332
3312709379213017728,66.90003194033417,15.589085472787543,21.284016509945317,0.022408782,949.80695,105.16744918201684,-23.914466137534937,7.289236,0.6894736
3311173120950799872,66.46067898955343,15.002464972130216,21.39808326312012,0.030094508,711.02954,107.05284803871862,-22.616431639961323,14.749543,3.0265055
3313665885609887616,66.77789108447449,16.429579986614307,21.7524975456685,0.065174945,333.7555,108.78997030370748,-26.28176339967887,16.60488,3.772418
3406216383523959936,70.81584857548913,17.068982088574,22.40772965069851,0.24554408,91.25747,84.43489741817137,-41.668730209110336,9.519791,1.2086744
3294081521934473216,71.10806668662119,11.146072203663218,22.474309444517445,0.08267633,271.83487,98.87421870737056,-13.970012717493288,5.326206,0.36072874
144377803854541184,68.40543499042356,21.15064523402506,22.870414579345397,0.021423718,1067.5278,108.25728082834638,-46.29095905269867,10.200552,1.4889374
49365087086285184,63.9273412343676,20.819641218239195,20.270849788207933,0.04364708,464.42627,109.44958761747506,-35.286636087074896,7.650983,0.86707926
3308957845537774976,71.38816992918579,15.050622832998393,20.34993783395049,0.17036079,119.452,84.68394037466844,-23.753854832543663,18.10621,4.133625
3311514210073309056,63.60737116437495,14.624971001435416,20.37607494359422,0.02300196,885.8408,107.84642683790034,-13.751424929802884,8.303924,0.8634658
47959705067457152,66.12800628155945,18.98678698271073,20.49866479939148,0.31956834,64.14485,111.01913912861905,-43.00262897671094,14.982163,3.2060423
3410529355323453312,70.05342325459208,19.2859181895273,22.268220734433715,0.022097234,1007.7379,98.68373842786642,-40.15836005393951,12.552542,2.3746452
3307717596422556928,66.4657421464766,13.502584738819609,22.739119775786293,0.019374017,1173.6915,113.38304331107248,-19.155673748306107,13.912734,2.7894402
3410453489022728576,68.42662834627303,19.013283769225044,20.30263423546744,0.264669,76.70953,102.06974639555295,-31.88431589005483,18.51686,2.8797836
3294248609046258048,70.25766303016547,10.99439690016806,20.326483726131126,0.035580423,571.2828,91.37520820343704,-10.77774524346995,13.846414,-0.3913021
3306016372760404992,66.1838628217439,10.77199736532266,20.47144649891011,0.02506536,816.7226,102.92424133416888,-10.281400058163516,12.969965,2.4588194
3411031385460853248,70.6266761410155,20.45300678555645,20.476050830053644,0.021684114,944.2881,89.80926126025199,-37.83108453264123,12.145561,2.5452776
3409480318150949248,71.18277400779577,18.408079213384333,20.54437367664026,0.111013204,185.06244,91.04631264091016,-32.97210157368121,13.635109,2.9869432
3311229745799686912,65.75678797400016,15.228121233684698,20.706527940234576,0.036348913,569.66016,107.43366431136246,-19.466892830338374,15.144566,3.082655
3312281634829711488,64.55462493665708,16.098024004388698,20.725496302360657,0.029271381,708.04645,107.2614855943022,-23.893462096674515,14.750199,3.0744343
47813504381625088,64.35533003429076,19.029775860591062,20.89852976070232,0.022057392,947.4615,112.7095032886203,-29.841473775204143,10.348098,1.4703646
3404798597640071296,72.76054145781335,14.971194428416442,21.09312454746806,0.39078805,53.97587,91.67669179018684,-24.423091655680118,10.98731,1.871623
3312783561888068352,66.40598637273915,15.94090753969732,21.10764322783181,0.4963361,42.526913,102.95013743101792,-26.0262116770142,6.341617,0.64434147
3305524242524308352,61.644817597776,13.549048763974358,21.448501108200787,0.23169267,92.57307,114.59047115957908,-14.346548249312836,12.427655,2.2714405
146989143968434688,71.79108920329166,24.019811673334868,21.61611775507757,0.02172159,995.14435,92.18788556468284,-52.68383222508415,11.510047,1.964818
3305860933598991104,67.8154958252843,10.703330766016288,21.61705731519776,0.19431859,111.24544,104.53162699235996,-9.981458849004817,17.599026,4.058836
3406380176397987200,71.70648340477726,17.748190031190475,21.663906317446088,0.12984617,166.84285,89.22332922946438,-32.369473663128694,9.30183,1.188715
3313662896313355008,66.11855100326646,16.886053964801455,21.781982400489085,0.034885153,624.3912,112.37591155236862,-25.540146749299083,7.6696334,0.7718458
47752481485851136,65.1051418046824,18.74248853643707,21.794230173638944,0.030968318,703.7589,117.29271215734462,-43.34123943938491,6.014479,0.5179033
3312564037520033792,67.96911967367434,15.49937349658422,21.871807832755163,0.015987119,1368.0894,105.36486514556807,-24.24098903749085,10.49808,1.5730047
53725750200743040,62.16815352932989,23.556708485778447,21.90406538612904,0.04532025,483.31738,120.59242913114277,-51.25469196088383,12.654072,2.2314367
149005270337201792,63.63522486407845,23.57472991646869,21.993958087904776,0.02388899,920.6734,119.8042884064642,-48.1830774523606,7.896926,0.8128853
145484634106814592,66.35476960697082,22.19979147131272,22.017740203586687,0.12881888,170.92014,112.37063071226235,-46.63900490521837,5.224731,0.35477066
3299441950357981696,64.73298023395927,9.39630970086901,22.04584792581988,0.031199733,706.6037,114.38203149101864,-3.320155639836364,14.725554,3.2042933
3291495436226226688,74.83294905196855,10.385966140615842,22.052773296647725,0.026223375,840.9587,83.38904319009063,-10.520327494998384,12.796742,2.4497824
3312842042162993536,67.2190620079301,15.981472635522984,22.15827839888896,0.024848884,891.72125,110.42404683449864,-27.23903776948722,11.251079,1.8968086
3393094021484216192,76.78868073335705,15.613613450378049,22.36286879234413,0.023436414,954.1933,78.19204236778788,-30.48965983637968,12.757596,2.4374142
3410076150374417408,71.02831552399883,19.03534393734991,20.30727075667781,0.043550108,466.29666,89.04999367949891,-34.304519709190686,15.546968,3.2166424
3409875592581586944,71.54064277007757,18.95760270811788,20.317514444224592,0.1354039,150.05118,86.24019357197089,-37.73674519137691,17.659634,4.001692
3310131711641618816,70.15459933342096,16.635634653440178,20.499725682102227,0.05859141,349.87598,89.53247425803447,-26.18601961786656,16.12131,3.4910488
145674574739951872,66.34285323849276,22.29367359328652,20.91185281250576,0.157056,133.14902,104.35453085558618,-44.435815183648266,4.167236,0.22083235
149327461604162688,66.76358969231461,24.10416450594337,21.185878117312757,0.027633581,766.67145,104.7327978184749,-47.78656317905104,14.591046,3.0560608
3313751441358252160,66.57982992496277,17.05047474838996,21.204050746536424,0.06137174,345.50186,101.85154123967044,-28.253993605040456,16.338469,3.5770655
3307504222447587584,68.10736950520888,13.113150564848766,21.33021990255656,0.020638045,1033.5387,104.4183193016359,-18.568574281999176,10.519593,1.6842756
3312846371490133504,67.51789320736421,16.06860426033561,21.387746214507576,0.08663524,246.87122,94.67902202409914,-56.10590490928818,16.552427,3.7530613
46975436002187136,62.67708099718692,18.423116547059568,21.412299104141248,0.02434263,879.62146,121.42944939639628,-30.96376816159961,6.5024347,0.55978537
3314109916508904064,67.20174925382867,17.285341899758865,21.5489076022758,0.022407819,961.6691,108.67985266985404,-28.446330982590844,7.7025585,0.7695646
3392546632197477248,75.55638844545861,14.710114072079396,21.7459171405064,0.33910066,64.12821,73.98223222882817,-25.9457903756425,18.898937,4.3501472
145664777917536512,66.03147802349007,22.118672707891832,21.97239358755164,0.016493019,1332.2239,110.55785272690656,-43.889716888500814,10.500138,1.5751286
