source_id,ra,ra_error,dec,parallax,parallax_error,parallax_over_error,pm,pmra,pmdec,phot_g_mean_mag,bp_rp,astrometric_excess_noise,astrometric_excess_noise_sig,visibility_periods_used,ruwe,l,b
3310500082395427200,63.7169232554222,0.04049642,13.054855338582076,22.294688088545765,0.045448437,490.54907,114.88888,112.75112138609474,-22.059896989915025,10.232033,1.4961023,0.36649343,167.31828,16,2.4027092,180.42609787746167,-26.3777382774564
3312837025641272320,67.69551967147464,0.02257706,16.148532608296946,22.452802624244807,0.025360918,885.3309,118.82967,114.04477575771098,-33.38083251325954,6.406904,0.5842619,0.15488543,34.242596,17,1.0014025,180.4569284498503,-21.439260814463783
3306421753248761984,69.11577876378989,0.17564635,11.856683086919585,22.63970463772677,0.220503,102.673,101.72898,101.32268349179591,-9.082894317346572,18.360128,4.020073,0.9579661,8.448879,19,0.96095747,185.03925120426427,-22.962809694467182
3306856541379219456,65.60756954085089,0.21345808,11.305663743683306,22.70005263891222,0.24715331,91.84604,114.484276,113.95375057479764,-11.008751770472308,9.358516,1.431427,1.8546894,4005.939,16,14.270141,183.23599427808168,-26.03255301852177
3295377360811741184,74.69069979931963,0.79605055,12.209450823408815,22.72790497943969,0.878914,25.859077,90.33384,88.63223083410145,-17.450792340668183,20.345764,2.8003826,2.070449,1.807258,13,1.0989586,188.10546201347728,-18.31251577776164
3313207698500079360,69.63189917287164,0.017340915,17.04055509824066,22.85331654281413,0.020877853,1094.6201,110.786476,106.24672866768168,-31.389098407894696,13.618415,2.808816,0.08970802,7.276198,18,1.2659032,180.93459854946576,-19.42953644406357
49968306654050944,58.98887225768766,0.017071763,18.432146391229274,22.85518383898429,0.01826501,1251.3097,140.1628,136.73872500331092,-30.79173209582898,13.001957,2.5698195,0.11259586,13.322636,17,1.2765797,172.5740742222697,-26.16608328567253
3309006602007842048,71.62700947833584,0.07503961,15.471931785895292,20.500601458263425,0.0819142,250.2692,90.93148,87.32567613872013,-25.352727232571336,8.138844,0.8205805,0.58763224,270.04025,19,3.2997699,183.48253407835404,-18.850809716007607
3409827214070099840,72.14622781644172,0.026190294,18.72890279706403,20.551587784263443,0.030124094,682.2309,93.953964,87.27695408230191,-34.786222840829815,14.713162,3.0733747,0.09968686,3.3397117,19,1.0874426,181.0560677840339,-16.503419345634168
3295174363477640704,75.08112915512642,0.1344905,12.12608898873613,20.625656055459263,0.16071956,128.3332,100.07762,98.58248751507746,-17.2343620075334,17.852879,4.2937183,0.3420154,1.276296,16,0.9742124,188.4037163163975,-18.043602395649803
3292227607891547264,69.77608805537724,0.060153015,7.870986341030237,20.63072383367189,0.091687545,225.0112,94.83067,94.83053442527412,-0.1615898701897752,5.3237796,0.3391986,0.4972546,475.16824,16,1.0437951,188.99514012282697,-24.758061863737
3313714023603261568,67.16468609875307,0.029965306,16.969906003224942,20.707493378225784,0.033891197,610.99915,106.00871,102.49011854574022,-27.08546350145112,14.05441,-0.33930874,0.21914268,26.851698,18,1.0559669,179.42721955758756,-21.320281269041335
3310178784482082816,64.67653033004555,0.021714956,12.510638445649487,20.74999895456128,0.023574201,880.19946,110.697975,110.03357949625426,-12.110017411549151,14.114566,2.9399395,0.11006796,5.1887975,16,1.2902544,181.55555094783185,-25.99731607334563
145674574739951872,66.34285323849276,0.12950589,22.29367359328652,20.91185281250576,0.157056,133.14902,113.42138,104.35453085558618,-44.435815183648266,4.167236,0.22083235,1.0030557,1982.8856,16,1.1911019,174.56523149890305,-18.483243864338306
149327461604162688,66.76358969231461,0.024204737,24.10416450594337,21.185878117312757,0.027633581,766.67145,115.11957,104.7327978184749,-47.78656317905104,14.591046,3.0560608,0.106865056,4.900832,17,1.1376319,173.40086923032356,-17.00079392623377
3313751441358252160,66.57982992496277,0.054469276,17.05047474838996,21.204050746536424,0.06137174,345.50186,105.6978,101.85154123967044,-28.253993605040456,16.338469,3.5770655,0.18864867,2.6085405,18,1.0596411,178.97958499133802,-21.70217219829861
3307504222447587584,68.10736950520888,0.017507046,13.113150564848766,21.33021990255656,0.020638045,1033.5387,106.05648,104.4183193016359,-18.568574281999176,10.519593,1.6842756,0.10948105,18.924847,16,1.2273793,183.30574353013867,-22.99415168898695
3312846371490133504,67.51789320736421,0.072499976,16.06860426033561,21.387746214507576,0.08663524,246.87122,110.05449,94.67902202409914,-56.10590490928818,16.552427,3.7530613,0.26976228,4.134841,17,1.0225025,180.4095556451877,-21.62247892892491
46975436002187136,62.67708099718692,0.022889849,18.423116547059568,21.412299104141248,0.02434263,879.62146,125.31507,121.42944939639628,-30.96376816159961,6.5024347,0.55978537,0.12769875,17.0267,13,0.86649096,175.2231016830432,-23.622243509061505
3314109916508904064,67.20174925382867,0.01972905,17.285341899758865,21.5489076022758,0.022407819,961.6691,112.34102,108.67985266985404,-28.446330982590844,7.7025585,0.7695646,0.12079779,11.542239,19,0.99831164,179.1888252970733,-21.093655346955146
3392546632197477248,75.55638844545861,0.29808322,14.710114072079396,21.7459171405064,0.33910066,64.12821,78.39996,73.98223222882817,-25.9457903756425,18.898937,4.3501472,1.2812079,4.8868117,16,1.1101589,186.4435572360152,-16.20454012445359
145664777917536512,66.03147802349007,0.014793432,22.118672707891832,21.97239358755164,0.016493019,1332.2239,118.95103,110.55785272690656,-43.889716888500814,10.500138,1.5751286,0.07298177,7.8210473,17,1.0518627,174.5043083342097,-18.815506916148472
3310814886318365568,66.13187780097878,0.033315126,13.928549141036688,21.993423194312864,0.039120864,562.19165,114.53426,113.07056240121685,-18.252254939822112,15.081756,3.1072779,0.16400898,5.415988,16,1.2444993,181.3150460650429,-24.004801649692563
3311810043124387712,63.46885198450028,0.114698455,15.36495687120656,22.2959209162106,0.11555437,192.94745,122.33084,119.15064085645162,-27.7120908074048,14.314616,2.9728355,0.69185126,160.47333,11,1.1904306,178.29263710562842,-25.073641788514127
3295377880503113216,74.76339168430074,0.028329602,12.262400542343777,22.44628848913832,0.031041253,723.1116,88.24885,86.26740002504683,-18.595565233818192,15.046155,3.1978989,0.101418026,2.1180925,17,1.0760312,188.1014900242168,-18.223993426448047
147586247500686336,68.34964551576856,0.4135973,23.990567559283637,22.93807478028544,0.45966974,49.901207,111.51519,104.81498110302849,-38.07174541271763,12.281707,2.388587,2.8538659,7652.531,16,7.6260633,174.47679103456952,-15.97783967433203
3410118477275889024,71.51173180643754,0.073348284,19.46816920634623,20.113745166945517,0.081322856,247.33202,92.36139,85.1733272274157,-35.7229737604877,16.80169,3.7396898,0.11267121,0.5870262,18,0.89521325,180.06371599030695,-16.53234275939969
49131681384221184,65.43537023809772,0.10229332,20.402754686332496,20.282688061310395,0.11537205,175.80244,109.35806,104.08247386373684,-33.55629455480451,17.242485,3.9258785,0.5892702,10.440867,17,1.0050027,175.48833261285057,-20.362625774750672
149476479789791488,65.47176262966968,0.05537184,24.240285426676486,20.28463296262879,0.063989155,317.00113,115.222595,105.14956896704268,-47.114907611570985,13.641221,2.9549856,0.39246368,106.209595,16,3.466096,172.47366745729667,-17.79115859126384
